year,ccode,cname,ph_infrastructure,ict,business,border_transp,export
2004,ALB,Albania,0.1105172,0.0412794,0.1224659,0.5418877,Add
2004,DZA,Algeria,0.3105886,0.2662299,0.3811695,0.6610363,Add
2004,ARG,Argentina,0.402363,0.4074503,0.198051,0.7007525,Add
2004,ARM,Armenia,0.2258002,0.2458057,0.2531016,0.6247996,Add
2004,AUS,Australia,0.7952101,0.7849535,0.8399605,0.7560096,Add
2004,AUT,Austria,0.789591,0.6978869,0.7532752,0.9313446,Add
2004,AZE,Azerbaijan,0.5525852,0.408292,0.3207151,0.2954672,Add
2004,BHR,Bahrain,0.6321434,0.4159493,0.5623819,0.844325,Add
2004,BGD,Bangladesh,0.2767829,0.1498822,0.0336668,0.4882696,Add
2004,BEL,Belgium,0.8909646,0.6509685,0.6720233,0.9313446,Add
2004,BEN,Benin,0.1938802,0.1981533,0.1173198,0.6118434,Add
2004,BOL,Bolivia,0.1534159,0.1077742,0.1569406,0.6424451,Add
2004,BIH,Bosnia and Herzegovina,0.0546415,0.008022,0.2564854,0.7616386,Add
2004,BWA,Botswana,0.4106307,0.3514881,0.5479944,0.5973405,Add
2004,BRA,Brazil,0.3746357,0.6231917,0.4204975,0.7050857,Add
2004,BGR,Bulgaria,0.3146035,0.2584277,0.3545421,0.6395639,Add
2004,KHM,Cambodia,0.2701526,0.1579739,0.0973869,0.4126253,Add
2004,CMR,Cameroon,0.1346715,0.2436396,0.1300227,0.3473246,Add
2004,CAN,Canada,0.8257643,0.778452,0.6830429,0.8181528,Add
2004,TCD,Chad,0.0011563,0.0107592,0.0693122,0.2279473,Add
2004,CHL,Chile,0.6509646,0.706396,0.701822,0.7533435,Add
2004,CHN,China,0.4706309,0.5133097,0.4581329,0.6811121,Add
2004,COL,Colombia,0.3069352,0.3156797,0.3734963,0.5399832,Add
2004,CRI,Costa Rica,0.2809606,0.4497189,0.4521246,0.5076802,Add
2004,HRV,Croatia,0.392296,0.2062748,0.2680958,0.4216107,Add
2004,CZE,Czech Republic,0.5478606,0.5344259,0.3221992,0.8080838,Add
2004,DNK,Denmark,0.9474806,0.9216833,1,0.9933867,Add
2004,DOM,Dominican Republic,0.4164468,0.3590104,0.2296535,0.7011341,Add
2004,ECU,Ecuador,0.2458819,0.1848864,0.171754,0.55543,Add
2004,EGY,Egypt,0.523198,0.4723656,0.3875808,0.6346326,Add
2004,SLV,El Salvador,0.4989696,0.4506781,0.4551104,0.6206165,Add
2004,EST,Estonia,0.6022639,0.773711,0.6337244,1,Add
2004,ETH,Ethiopia,0.2180292,0.0625056,0.2849002,0.5172473,Add
2004,FIN,Finland,0.8881529,0.897496,0.9700341,0.9345835,Add
2004,FRA,France,0.962472,0.6924582,0.6427107,0.6060898,Add
2004,GMB,Gambia,0.3820426,0.2365575,0.3970973,0.7203414,Add
2004,GEO,Georgia,0.3515596,0.1335166,0.1194154,0.2977473,Add
2004,DEU,Germany,0.9754602,0.761522,0.7626992,0.9417846,Add
2004,GHA,Ghana,0.3213081,0.3449602,0.3946329,0.428604,Add
2004,GRC,Greece,0.5669689,0.3265261,0.4024964,0.7881626,Add
2004,GTM,Guatemala,0.2841187,0.3337671,0.1988328,0.6582931,Add
2004,GUY,Guyana,0.212861,0.0225835,0.1342323,0.6285256,Add
2004,HND,Honduras,0.3096105,0.1829403,0.1871361,0.6512138,Add
2004,HKG,Hong Kong,1,0.8423292,0.836723,0.7793955,Add
2004,HUN,Hungary,0.3855016,0.4804067,0.4155305,0.803399,Add
2004,ISL,Iceland,0.7063091,0.9498197,0.9638412,0.8622021,Add
2004,IND,India,0.4912732,0.6406662,0.3138958,0.373001,Add
2004,IDN,Indonesia,0.4524171,0.3761972,0.4023927,0.6459307,Add
2004,IRL,Ireland,0.4775326,0.725946,0.6861249,0.9441894,Add
2004,ISR,Israel,0.634591,0.8636463,0.6723263,0.8991662,Add
2004,ITA,Italy,0.4715013,0.3790082,0.4347981,0.829436,Add
2004,JAM,Jamaica,0.5078245,0.45066,0.3092569,0.7477235,Add
2004,JPN,Japan,0.9277555,0.867834,0.6901431,0.9169425,Add
2004,JOR,Jordan,0.5179829,0.4766029,0.5985653,0.5847227,Add
2004,KAZ,Kazakhstan,0.3733653,0.4140172,0.2746888,0.0681144,Add
2004,KEN,Kenya,0.2968694,0.3082778,0.2926413,0.3634279,Add
2004,KOR,Korea,0.7280669,0.8288981,0.3983762,0.824766,Add
2004,KWT,Kuwait,0.5203984,0.4646514,0.4246733,0.5852911,Add
2004,KGZ,Kyrgyz Republic,0.157486,0.0125767,0.0542458,0.1199762,Add
2004,LVA,Latvia,0.5109314,0.4333735,0.3535476,0.8593149,Add
2004,LTU,Lithuania,0.5588502,0.4740407,0.4514038,0.8414376,Add
2004,LUX,Luxembourg,0.6946096,0.5473393,0.8292923,0.9423724,Add
2004,MDG,Madagascar,0.2152419,0.334219,0.1877,0.4340889,Add
2004,MWI,Malawi,0.2419143,0.1324615,0.3212244,0.3442873,Add
2004,MYS,Malaysia,0.7930714,0.7012746,0.5535929,0.7626895,Add
2004,MLI,Mali,0.1264774,0.3166279,0.2380597,0.3696595,Add
2004,MUS,Mauritius,0.5196425,0.4365438,0.3000002,0.814562,Add
2004,MEX,Mexico,0.4536609,0.4493848,0.3552706,0.8251266,Add
2004,MDA,Moldova,0.2479598,0.1946668,0.29504,0.664415,Add
2004,MNG,Mongolia,0.1623684,0.2066271,0.1531657,0.327013,Add
2004,MAR,Morocco,0.5223405,0.3162175,0.4561776,0.6616777,Add
2004,MOZ,Mozambique,0.1891613,0.1625226,0.2334006,0.5682809,Add
2004,NAM,Namibia,0.711499,0.3715652,0.4589364,0.548664,Add
2004,NLD,Netherlands,0.9146726,0.6896421,0.8589693,0.9489856,Add
2004,NZL,New Zealand,0.7197054,0.7261248,0.9593359,0.8477807,Add
2004,NIC,Nicaragua,0.200534,0.1012326,0.2619804,0.630926,Add
2004,NGA,Nigeria,0.2962408,0.2702318,0.1588298,0.3327874,Add
2004,NOR,Norway,0.7072308,0.7750662,0.9457098,0.9603846,Add
2004,PAK,Pakistan,0.418355,0.4237217,0.080765,0.50407,Add
2004,PAN,Panama,0.588191,0.5045794,0.2849883,0.9711959,Add
2004,PRY,Paraguay,0.1718047,0.0994314,0.1456177,0.5275671,Add
2004,PER,Peru,0.2351816,0.3039445,0.3228678,0.6652536,Add
2004,PHL,Philippines,0.2645801,0.3967315,0.1068074,0.7098819,Add
2004,POL,Poland,0.3599595,0.3391433,0.2234017,0.8121704,Add
2004,PRT,Portugal,0.6469539,0.506811,0.6478486,0.7749466,Add
2004,QAT,Qatar,0.4878455,0.4955403,0.6898704,0.7817959,Add
2004,ROM,Romania,0.3743957,0.3432226,0.1918328,0.5328845,Add
2004,RUS,Russian Federation,0.4304007,0.3289819,0.1915129,0.4833012,Add
2004,SRB,Serbia,0.201865,0.1395391,0.2575345,0.4108232,Add
2004,SGP,Singapore,0.9827157,0.9084256,0.9573988,0.9812648,Add
2004,SVK,Slovak Republic,0.4299282,0.5425677,0.3287835,0.7059394,Add
2004,SVN,Slovenia,0.5702944,0.4801178,0.5468939,0.7387054,Add
2004,ZAF,South Africa,0.6833383,0.6168431,0.5408921,0.5847122,Add
2004,ESP,Spain,0.6727782,0.5364162,0.6094961,0.8179168,Add
2004,LKA,Sri Lanka,0.3379253,0.2855743,0.2695936,0.6030868,Add
2004,SWE,Sweden,0.8488345,0.9495094,0.9036916,0.9782618,Add
2004,CHE,Switzerland,0.8806888,0.7892565,0.8593503,0.9313446,Add
2004,TZA,Tanzania,0.3586378,0.2955754,0.2721996,0.4837005,Add
2004,THA,Thailand,0.6102083,0.6213089,0.3907046,0.5695783,Add
2004,TTO,Trinidad & Tobago,0.4011686,0.2863072,0.3331349,0.8086954,Add
2004,TUN,Tunisia,0.6117285,0.5796238,0.6078653,0.7645302,Add
2004,TUR,Turkey,0.3953081,0.5263269,0.280469,0.5823224,Add
2004,UGA,Uganda,0.214017,0.2620506,0.2256043,0.2090785,Add
2004,UKR,Ukraine,0.4259992,0.2363713,0.1670854,0.5996206,Add
2004,ARE,United Arab Emirates,0.7573765,0.740468,0.777916,0.7671384,Add
2004,GBR,United Kingdom,0.7960994,0.7544994,0.8597339,0.8703622,Add
2004,USA,United States,0.8805041,1,0.7193251,0.9522247,Add
2004,URY,Uruguay,0.3459159,0.3357257,0.5683146,0.5783261,Add
2004,VEN,Venezuela,0.2992733,0.3188168,0.1371586,0.4717908,Add
2004,VNM,Vietnam,0.2553904,0.3384103,0.2488308,0.7163795,Add
2004,ZMB,Zambia,0.2501966,0.1864189,0.2774947,0.3996542,Add
2004,ZWE,Zimbabwe,0.2819798,0.115186,0.3129913,0.3686858,Add
2005,ALB,Albania,0.1114172,0.0437406,0.1363357,0.5494405,Add
2005,DZA,Algeria,0.2821936,0.2643114,0.3321249,0.6610363,Add
2005,ARG,Argentina,0.4139674,0.4165604,0.2255583,0.7007525,Add
2005,ARM,Armenia,0.226848,0.2478315,0.267949,0.6247996,Add
2005,AUS,Australia,0.7541438,0.7652642,0.8352681,0.8486388,Add
2005,AUT,Austria,0.7746001,0.727906,0.7785798,0.9313446,Add
2005,AZE,Azerbaijan,0.5552754,0.4096585,0.3471497,0.327163,Add
2005,BHR,Bahrain,0.5844772,0.4430237,0.4939916,0.844325,Add
2005,BGD,Bangladesh,0.2844592,0.1888811,0.0420887,0.4882696,Add
2005,BEL,Belgium,0.8579208,0.6336075,0.6112829,0.9313446,Add
2005,BEN,Benin,0.194952,0.1999038,0.1257315,0.6118434,Add
2005,BOL,Bolivia,0.1825092,0.1421336,0.1645409,0.6424451,Add
2005,BIH,Bosnia and Herzegovina,0.0761269,0.0627723,0.2298158,0.7616386,Add
2005,BWA,Botswana,0.4267925,0.3297621,0.5577165,0.5973405,Add
2005,BRA,Brazil,0.3092206,0.5680819,0.3213046,0.7050857,Add
2005,BGR,Bulgaria,0.3589213,0.2820326,0.3534003,0.6395639,Add
2005,KHM,Cambodia,0.2713571,0.1599125,0.1105939,0.4085088,Add
2005,CMR,Cameroon,0.1360058,0.2453528,0.1468395,0.596463,Add
2005,CAN,Canada,0.8311851,0.7849916,0.6940992,0.9726417,Add
2005,TCD,Chad,0.0604312,0.0097359,0.0858307,0.2279473,Add
2005,CHL,Chile,0.654679,0.6883859,0.6906663,0.7533435,Add
2005,CHN,China,0.466308,0.4933018,0.4303529,0.737013,Add
2005,COL,Colombia,0.3203757,0.3110084,0.4256435,0.5820909,Add
2005,CRI,Costa Rica,0.2543942,0.412506,0.3220766,0.5076802,Add
2005,HRV,Croatia,0.435915,0.2286826,0.3227574,0.6994374,Add
2005,CZE,Czech Republic,0.5873327,0.5960088,0.4056424,0.8080838,Add
2005,DNK,Denmark,0.9712664,0.9060313,0.9810362,0.9933867,Add
2005,DOM,Dominican Republic,0.3966508,0.3459339,0.1014424,0.7011341,Add
2005,ECU,Ecuador,0.3044527,0.1620454,0.0966173,0.55543,Add
2005,EGY,Egypt,0.4637792,0.424936,0.4167296,0.6939226,Add
2005,SLV,El Salvador,0.5414299,0.4334604,0.4355065,0.6206165,Add
2005,EST,Estonia,0.6132012,0.754276,0.5910156,1,Add
2005,ETH,Ethiopia,0.2204369,0.044258,0.2855013,0.5172473,Add
2005,FIN,Finland,0.8762414,0.9021809,0.9487545,0.9345835,Add
2005,FRA,France,0.9662289,0.730482,0.7022964,0.9097415,Add
2005,GMB,"Gambia, The",0.3545712,0.244875,0.3123915,0.7203414,Add
2005,GEO,Georgia,0.3774184,0.1382615,0.2469968,0.7612481,Add
2005,DEU,Germany,0.9707868,0.7747201,0.7715901,0.9417846,Add
2005,GHA,Ghana,0.3921591,0.3746047,0.4256359,0.6481232,Add
2005,GRC,Greece,0.5929258,0.3398874,0.4478938,0.7881626,Add
2005,GTM,Guatemala,0.3140527,0.2899045,0.1761387,0.6427969,Add
2005,GUY,Guyana,0.2138216,0.024899,0.1477467,0.6285256,Add
2005,HND,Honduras,0.3215815,0.2018079,0.2350679,0.6512138,Add
2005,HKG,Hong Kong SAR,0.9608522,0.7913611,0.7321264,0.9675857,Add
2005,HUN,Hungary,0.4515091,0.4990516,0.4373085,0.803399,Add
2005,ISL,Iceland,0.6499815,0.9342622,0.9487046,0.8622021,Add
2005,IND,India,0.459278,0.6327774,0.3279134,0.4151369,Add
2005,IDN,Indonesia,0.3511702,0.3832515,0.3126224,0.6459307,Add
2005,IRL,Ireland,0.5174262,0.7696037,0.7603356,0.9441894,Add
2005,ISR,Israel,0.6550143,0.849583,0.5973741,0.8991662,Add
2005,ITA,Italy,0.4863025,0.3836366,0.4625143,0.829436,Add
2005,JAM,Jamaica,0.5029737,0.4205071,0.3659284,0.7687045,Add
2005,JPN,Japan,0.9183726,0.867454,0.7046256,0.9169425,Add
2005,JOR,Jordan,0.5222669,0.4817182,0.5925764,0.7328151,Add
2005,KAZ,Kazakhstan,0.3757125,0.4154706,0.3018849,0.0681144,Add
2005,KEN,Kenya,0.3161497,0.3101786,0.1780852,0.5755829,Add
2005,KOR,"Korea, Rep.",0.7623503,0.8652949,0.5130445,0.824766,Add
2005,KWT,Kuwait,0.5219368,0.4664388,0.4486815,0.6543178,Add
2005,KGZ,Kyrgyz Republic,0.1585593,0.0148165,0.0697831,0.1199762,Add
2005,LVA,Latvia,0.5294716,0.4408692,0.3717884,0.8593149,Add
2005,LTU,Lithuania,0.5650702,0.4575598,0.4182851,0.8414376,Add
2005,LUX,Luxembourg,0.6879586,0.4653881,0.870528,0.9423724,Add
2005,MDG,Madagascar,0.2494069,0.3113135,0.2016786,0.4340889,Add
2005,MWI,Malawi,0.208867,0.09661,0.3173133,0.3442873,Add
2005,MYS,Malaysia,0.8461951,0.7853188,0.6628905,0.7626895,Add
2005,MLI,Mali,0.1459326,0.3051364,0.3176786,0.3696595,Add
2005,MUS,Mauritius,0.526701,0.4883976,0.319833,0.814562,Add
2005,MEX,Mexico,0.4428486,0.4305162,0.3233821,0.8251266,Add
2005,MDA,Moldova,0.2495657,0.1963675,0.3289292,0.664415,Add
2005,MNG,Mongolia,0.1638908,0.2085521,0.1684779,0.5979045,Add
2005,MAR,Morocco,0.4166061,0.3053615,0.2526269,0.6616777,Add
2005,MOZ,Mozambique,0.2325228,0.2058781,0.2608061,0.5682809,Add
2005,NAM,Namibia,0.641699,0.3251675,0.3427373,0.548664,Add
2005,NLD,Netherlands,0.9171487,0.693675,0.8393574,0.9489856,Add
2005,NZL,New Zealand,0.7044892,0.7231308,0.9549254,0.8477807,Add
2005,NIC,Nicaragua,0.2340531,0.1503312,0.2644652,0.7012633,Add
2005,NGA,Nigeria,0.3487504,0.2284596,0.2293525,0.514504,Add
2005,NOR,Norway,0.6941369,0.7719455,0.911982,0.9603846,Add
2005,PAK,Pakistan,0.4386542,0.4314073,0.1979015,0.6536958,Add
2005,PAN,Panama,0.4700998,0.3880084,0.2655169,0.9711959,Add
2005,PRY,Paraguay,0.1449925,0.0586515,0.1099099,0.5275671,Add
2005,PER,Peru,0.2106469,0.3450064,0.3221512,0.6652536,Add
2005,PHL,Philippines,0.2795074,0.3988707,0.1054681,0.7098819,Add
2005,POL,Poland,0.4365809,0.3921264,0.2960309,0.8121704,Add
2005,PRT,Portugal,0.692505,0.5294802,0.6991698,0.7893487,Add
2005,QAT,Qatar,0.4892557,0.4970933,0.7316679,0.7817959,Add
2005,ROM,Romania,0.3744701,0.3658535,0.2041718,0.8587271,Add
2005,RUS,Russian Federation,0.4350498,0.3084369,0.184907,0.4833012,Add
2005,SRB,Serbia and Montenegro,0.1683212,0.1506032,0.2974231,0.8302747,Add
2005,SGP,Singapore,1,0.9175726,1,0.9812648,Add
2005,SVK,Slovak Republic,0.4194454,0.5404026,0.3558084,0.7059394,Add
2005,SVN,Slovenia,0.6129824,0.4721288,0.5607774,0.7387054,Add
2005,ZAF,South Africa,0.6658338,0.607985,0.4469436,0.5847122,Add
2005,ESP,Spain,0.7132053,0.5730985,0.5803032,0.8179168,Add
2005,LKA,Sri Lanka,0.3272843,0.2522456,0.1615796,0.6030868,Add
2005,SWE,Sweden,0.7965475,0.8712805,0.8221546,0.9782618,Add
2005,CHE,Switzerland,0.87691,0.7583015,0.8498995,0.9313446,Add
2005,TZA,Tanzania,0.3381644,0.2798743,0.3425463,0.7375194,Add
2005,THA,Thailand,0.6378675,0.5928355,0.4629415,0.5695783,Add
2005,TTO,Trinidad and Tobago,0.3123461,0.2378591,0.2828946,0.8086954,Add
2005,TUN,Tunisia,0.6403151,0.5420731,0.6014382,0.7645302,Add
2005,TUR,Turkey,0.4168691,0.5298183,0.3224704,0.5823224,Add
2005,UGA,Uganda,0.1880413,0.2195282,0.158082,0.2090785,Add
2005,UKR,Ukraine,0.3942899,0.2562227,0.2451787,0.5996206,Add
