year,ccode,Physical_infrastructure,ICT,Business,Border_Transportation,Export
2004,ARE,0.7573765,0.740468,0.777916,0.7671384,93968596324
2004,ARG,0.402363,0.4074503,0.198051,0.7007525,39266996606
2004,AUS,0.7952101,0.7849535,0.8399605,0.7560096,1.05E+11
2004,AUT,0.789591,0.6978869,0.7532752,0.9313446,1.41E+11
2004,BEL,0.8909646,0.6509685,0.6720233,0.9313446,2.62E+11
2004,BRA,0.3746357,0.6231917,0.4204975,0.7050857,1.11E+11
2004,CAN,0.8257643,0.778452,0.6830429,0.8181528,3.83E+11
2004,CHE,0.8806888,0.7892565,0.8593503,0.9313446,2.07E+11
2004,CHL,0.6509646,0.706396,0.701822,0.7533435,39320388861
2004,CHN,0.4706309,0.5133097,0.4581329,0.6811121,6.07E+11
2004,CZE,0.5478606,0.5344259,0.3221992,0.8080838,68363661125
2004,DNK,0.9474806,0.9216833,1,0.9933867,1.10E+11
2004,DZA,0.3105886,0.2662299,0.3811695,0.6610363,34178449805
2004,ESP,0.6727782,0.5364162,0.6094961,0.8179168,2.72E+11
2004,FIN,0.8881529,0.897496,0.9700341,0.9345835,76257431519
2004,FRA,0.962472,0.6924582,0.6427107,0.6060898,5.61E+11
2004,GBR,0.7960994,0.7544994,0.8597339,0.8703622,5.81E+11
2004,GRC,0.5669689,0.3265261,0.4024964,0.7881626,49899010821
2004,HKG,1,0.8423292,0.836723,0.7793955,2.84E+11
2004,HUN,0.3855016,0.4804067,0.4155305,0.803399,62016702357
2004,IDN,0.4524171,0.3761972,0.4023927,0.6459307,82744351781
2004,IND,0.4912732,0.6406662,0.3138958,0.373001,1.27E+11
2004,IRL,0.4775326,0.725946,0.6861249,0.9441894,1.56E+11
2004,ISR,0.634591,0.8636463,0.6723263,0.8991662,52999304623
2004,ITA,0.4715013,0.3790082,0.4347981,0.829436,4.34E+11
2004,JPN,0.9277555,0.867834,0.6901431,0.9169425,6.26E+11
2004,KOR,0.7280669,0.8288981,0.3983762,0.824766,2.92E+11
2004,KWT,0.5203984,0.4646514,0.4246733,0.5852911,33831014591
2004,LUX,0.6946096,0.5473393,0.8292923,0.9423724,50400230064
2004,MEX,0.4536609,0.4493848,0.3552706,0.8251266,2.02E+11
2004,MYS,0.7930714,0.7012746,0.5535929,0.7626895,1.44E+11
2004,NGA,0.2962408,0.2702318,0.1588298,0.3327874,27497518511
2004,NLD,0.9146726,0.6896421,0.8589693,0.9489856,4.13E+11
2004,NOR,0.7072308,0.7750662,0.9457098,0.9603846,1.09E+11
2004,PHL,0.2645801,0.3967315,0.1068074,0.7098819,39736335583
2004,POL,0.3599595,0.3391433,0.2234017,0.8121704,87337150304
2004,PRT,0.6469539,0.506811,0.6478486,0.7749466,52396449477
2004,RUS,0.4304007,0.3289819,0.1915129,0.4833012,2.03E+11
2004,SGP,0.9827157,0.9084256,0.9573988,0.9812648,2.46E+11
2004,SVK,0.4299282,0.5425677,0.3287835,0.7059394,39658444438
2004,SWE,0.8488345,0.9495094,0.9036916,0.9782618,1.64E+11
2004,THA,0.6102083,0.6213089,0.3907046,0.5695783,1.14E+11
2004,TUR,0.3953081,0.5263269,0.280469,0.5823224,96593431915
2004,UKR,0.4259992,0.2363713,0.1670854,0.5996206,39456100771
2004,VEN,0.2992733,0.3188168,0.1371586,0.4717908,40705555516
2004,ZAF,0.6833383,0.6168431,0.5408921,0.5847122,58215309784
2005,ARE,0.7541196,0.7183446,0.7094234,0.7954556,1.22E+11
2005,ARG,0.4139674,0.4165604,0.2255583,0.7007525,46198180131
2005,AUS,0.7541438,0.7652642,0.8352681,0.8486388,1.27E+11
2005,AUT,0.7746001,0.727906,0.7785798,0.9313446,1.54E+11
2005,BEL,0.8579208,0.6336075,0.6112829,0.9313446,2.87E+11
2005,BRA,0.3092206,0.5680819,0.3213046,0.7050857,1.36E+11
2005,CAN,0.8311851,0.7849916,0.6940992,0.9726417,4.32E+11
2005,CHE,0.87691,0.7583015,0.8498995,0.9313446,2.25E+11
2005,CHL,0.654679,0.6883859,0.6906663,0.7533435,49140735174
2005,CHN,0.466308,0.4933018,0.4303529,0.737013,7.73E+11
2005,CZE,0.5873327,0.5960088,0.4056424,0.8080838,84772746088
2005,DNK,0.9712664,0.9060313,0.9810362,0.9933867,1.25E+11
2005,DZA,0.2821936,0.2643114,0.3321249,0.6610363,48714917293
2005,ESP,0.7132053,0.5730985,0.5803032,0.8179168,2.88E+11
2005,FIN,0.8762414,0.9021809,0.9487545,0.9345835,82514287315
2005,FRA,0.9662289,0.730482,0.7022964,0.9097415,5.94E+11
2005,GBR,0.7884226,0.7609972,0.8318381,0.9171785,6.41E+11
2005,GRC,0.5929258,0.3398874,0.4478938,0.7881626,52827781598
2005,HKG,0.9608522,0.7913611,0.7321264,0.9675857,3.22E+11
